"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A meta-level hybridization approach to personalized movie recommendation","N. Immaneni; I. Padmanaban; B. Ramasubramanian; R. Sridhar","Department of Computer Science and Engineering, College of Engineering, Guindy, Anna University, Chennai-600 025, India; Department of Computer Science and Engineering, College of Engineering, Guindy, Anna University, Chennai-600 025, India; Department of Computer Science and Engineering, College of Engineering, Guindy, Anna University, Chennai-600 025, India; Department of Computer Science and Engineering, College of Engineering, Guindy, Anna University, Chennai-600 025, India","2017 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","4 Dec 2017","2017","","","2193","2200","Recommender systems help users to find their favorite products based on their historical preferences. They are commonly utilized in a variety of areas such as movies, music, research articles, search queries and social tags. They exploit the power of social knowledge bases to detect semantic similarities among items and users. In this paper, a personalized meta-level hybrid recommendation technique that combines collaborative and content-based approaches in a hierarchical manner is proposed to suggest movies to users. The recommended movies are depicted using a sequence of images describing the story plot for better visual appeal.","","978-1-5090-6367-3","10.1109/ICACCI.2017.8126171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8126171","movie recommender system;collaborative filtering;content based filtering","Motion pictures;Collaboration;Facebook;Recommender systems;Algorithm design and analysis;Sentiment analysis","entertainment;groupware;knowledge based systems;recommender systems","social knowledge bases;semantic similarities;personalized meta-level hybrid recommendation technique;meta-level hybridization approach;personalized movie recommendation;recommender systems;collaborative approach;content-based approach","","","","10","","4 Dec 2017","","","IEEE","IEEE Conferences"
"BiCycle: Item Recommendation with Life Cycles","X. Liu; Y. Song; C. Aggarwal; Y. Zhang; X. Kong","Worcester Polytech. Inst., Worcester, MA, USA; Univ. of Wisconsin-Madison, Madison, WI, USA; IBM T.J. Watson Res. Center, Yorktown Heights, NY, USA; Fudan Univ., Shanghai, China; Worcester Polytech. Inst., Worcester, MA, USA","2017 IEEE International Conference on Data Mining (ICDM)","18 Dec 2017","2017","","","297","306","Recommender systems have attracted much attention in last decades, which can help the users explore new items in many applications. As a popular technique in recommender systems, item recommendation works by recommending items to users based on their historical interactions. Conventional item recommendation methods usually assume that users and items are stationary, which is not always the case in real-world applications. Many time-aware item recommendation models have been proposed to take the temporal effects into the considerations based on the absolute time stamps associated with observed interactions. We show that using absolute time to model temporal effects can be limited in some circumstances. In this work, we propose to model the temporal dynamics of both users and items in item recommendation based on their life cycles. This problem is very challenging to solve since the users and items can co-evolve in their life cycles and the sparseness of the data become more severe when we consider the life cycles of both users and items. A novel time-aware item recommendation model called BiCycle is proposed to address these challenges. BiCycle is designed based on two important observations: 1) correlated users or items usually share similar patterns in the similar stages of their life cycles. 2) user preferences and item characters can evolve gradually over different stages of their life cycles. Extensive experiments conducted on three real-world datasets demonstrate the proposed approach can significantly improve the performance of recommendation tasks by considering the inner life cycles of both users and items.","2374-8486","978-1-5386-3835-4","10.1109/ICDM.2017.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8215502","Item Recommendation;Collaborative Filtering;Life Cycle;Evolution Inference;Data Mining","Motion pictures;Collaboration;Bicycles;Filtering;History;Indexes","data analysis;recommender systems","BiCycle;temporal effects;recommendation tasks;item characters;time-aware item recommendation models;item recommendation works;recommender systems;life cycles","","2","","21","","18 Dec 2017","","","IEEE","IEEE Conferences"
"A Recommender System for Youtube Based on its Network of Reviewers","S. Qin; R. Menezes; M. Silaghi","Dept. of Comput. Sci., Florida Tech, Melbourne, FL, USA; Dept. of Comput. Sci., Florida Tech, Melbourne, FL, USA; Dept. of Comput. Sci., Florida Tech, Melbourne, FL, USA","2010 IEEE Second International Conference on Social Computing","30 Sep 2010","2010","","","323","328","Social network studies are becoming increasingly popular and have been applied to several fields of study such as law enforcement, marketing, spread of disease, as well as in the improvement of organizational performance. One area that is yet to be explored relates to harnessing the power of social networks as recommender systems. The idea that users may provide other users with recommendations that are more relevant than naive approaches is long known. However, the approaches currently implemented are based on the creation of simple relationships such as co-purchase of similar items. Similarly, video websites would like to suggest related videos to users to maximize the time they spend on their sites. Ergo it is crucial that sites like YouTube provide users with recommendations that are relevant to them. Moreover, given the large amount of videos on YouTube, a good recommender system may alleviate users' efforts on finding videos that interest them the most. Existing recommender systems for YouTube are typically based on finding similarities between the videos' textual features (video title or tags annotations) and matching these features to tags in the user's profiles or the videos they are currently watching. This approach is very limited because it restricts the users interests to the current theme of the video being played or the preferences in their profiles. This means that if one is watching a movie about football, it is assumed that the user would like recommendations on other videos about football. In this paper, we attempt to extract information about video relationship using a network formed from reviews left as comments in YouTube videos. We create a network of videos called YouTube Recommender Network (YRN) and use complex network analysis on this network as the basis of a recommender system. Our results show that our list of recommended videos is more diverse than the ones based on textual information. Our YRN provides diversity and captures other important characteristics such as high rating and most-viewed count.","","978-1-4244-8439-3","10.1109/SocialCom.2010.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591240","Social Networks;Complex Networks;Recommendation Systems","YouTube;Communities;Recommender systems;Feeds;Data mining;Facebook","information filtering;social networking (online)","recommender system;social network studies;law enforcement;marketing;video websites;video textual features;video title;tags annotations;user profiles;users interests;YouTube videos;YouTube recommender network;complex network analysis;textual information","","12","2","16","","30 Sep 2010","","","IEEE","IEEE Conferences"
"A Unified Framework for Providing Recommendations in Social Tagging Systems Based on Ternary Semantic Analysis","P. Symeonidis; A. Nanopoulos; Y. Manolopoulos","Aristotle Univesity of Thessaloniki, Greece; Aristotle Univesity of Thessaloniki, Greece; Univesity of Hildesheim, Germany","IEEE Transactions on Knowledge and Data Engineering","31 Dec 2009","2010","22","2","179","192","Social tagging is the process by which many users add metadata in the form of keywords, to annotate and categorize items (songs, pictures, Web links, products, etc.). Social tagging systems (STSs) can provide three different types of recommendations: They can recommend 1) tags to users, based on what tags other users have used for the same items, 2) items to users, based on tags they have in common with other similar users, and 3) users with common social interest, based on common tags on similar items. However, users may have different interests for an item, and items may have multiple facets. In contrast to the current recommendation algorithms, our approach develops a unified framework to model the three types of entities that exist in a social tagging system: users, items, and tags. These data are modeled by a 3-order tensor, on which multiway latent semantic analysis and dimensionality reduction is performed using both the higher order singular value decomposition (HOSVD) method and the kernel-SVD smoothing technique. We perform experimental comparison of the proposed method against state-of-the-art recommendation algorithms with two real data sets (Last.fm and BibSonomy). Our results show significant improvements in terms of effectiveness measured through recall/precision.","1558-2191","","10.1109/TKDE.2009.85","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815246","Social tags;recommender systems;tensors;HOSVD.","Tagging;Recommender systems;Tensile stress;YouTube;Performance analysis;Singular value decomposition;Smoothing methods;Information resources;Collaboration;Filtering","data analysis;meta data;recommender systems;singular value decomposition;social networking (online);tensors","social tagging systems;ternary semantic analysis;metadata;3-order tensor;multiway latent semantic analysis;dimensionality reduction;higher order singular value decomposition method;kernel-SVD smoothing technique;state-of-the-art recommendation algorithms","","101","","39","","17 Apr 2009","","","IEEE","IEEE Journals"
"Find Your Online Social Friends from Mobile Internet Traffic","Y. Zhang; Y. Qiao; Y. Zhang; N. Shu; Y. Song; J. Yang","Beijing Key Laboratory of Network System Architecture and Convergence, Beijing Laboratory of Advanced Information Networks, Beijing University of Posts and Telecommunications, Beijing, China; Beijing Key Laboratory of Network System Architecture and Convergence, Beijing Laboratory of Advanced Information Networks, Beijing University of Posts and Telecommunications, Beijing, China; Beijing Key Laboratory of Network System Architecture and Convergence, Beijing Laboratory of Advanced Information Networks, Beijing University of Posts and Telecommunications, Beijing, China; Technology Research Institute, Aisino Corporation, Beijing, China; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, England; Beijing Key Laboratory of Network System Architecture and Convergence, Beijing Laboratory of Advanced Information Networks, Beijing University of Posts and Telecommunications, Beijing, China","2018 International Conference on Network Infrastructure and Digital Content (IC-NIDC)","8 Nov 2018","2018","","","457","461","Increasingly more mobile Internet traffic is produced which contains ample personal information related to user mobility and website browsing behavior. Prior research has attempted to recommend friends based on Global Position System (GPS) in location based social networks (LBSN). However, the study of friend recommendation in general social network according to position from the base station is relatively understudied. This paper introduces a novel feature set extracted from mobile Internet traffic according to base station location and Uniform Resource Locator (URL). We train classification models using these features to predict friendship between pairs of Weibo users. Results show that both base station location and URL when acted alone can already effectively reflect friendships even in general social network. We further show that by fusing the two features together, the model obtains even better performance. Finally, we demonstrate that the location and URL features can improve prediction performance than only using the common friends.","2575-4955","978-1-5386-6067-6","10.1109/ICNIDC.2018.8525736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525736","Human mobility;Social network;Friend Recommendation;Mobile Internet","Uniform resource locators;Feature extraction;Social network services;Base stations;Internet;Global Positioning System;Predictive models","feature extraction;Internet;mobile computing;pattern classification;recommender systems;sensor fusion;social networking (online);social sciences computing;telecommunication traffic","online social friends;mobile Internet traffic;user mobility;friend recommendation;base station location;global position system;uniform resource locator;Website browsing behavior;GPS;location based social networks;LBSN;URL;classification models;Weibo;feature fusion","","","","17","","8 Nov 2018","","","IEEE","IEEE Conferences"
"DBLSTM-based multi-scale fusion for dynamic emotion prediction in music","X. Li; J. Tian; M. Xu; Y. Ning; L. Cai","Key Laboratory of Pervasive Computing, Ministry of Education, Tsinghua National Laboratory for Information Science and Technology (TNList) Department of Computer Science and Technology, Tsinghua University, Beijing, China; Key Laboratory of Pervasive Computing, Ministry of Education, Tsinghua National Laboratory for Information Science and Technology (TNList) Department of Computer Science and Technology, Tsinghua University, Beijing, China; Key Laboratory of Pervasive Computing, Ministry of Education, Tsinghua National Laboratory for Information Science and Technology (TNList) Department of Computer Science and Technology, Tsinghua University, Beijing, China; Key Laboratory of Pervasive Computing, Ministry of Education, Tsinghua National Laboratory for Information Science and Technology (TNList) Department of Computer Science and Technology, Tsinghua University, Beijing, China; Key Laboratory of Pervasive Computing, Ministry of Education, Tsinghua National Laboratory for Information Science and Technology (TNList) Department of Computer Science and Technology, Tsinghua University, Beijing, China","2016 IEEE International Conference on Multimedia and Expo (ICME)","29 Aug 2016","2016","","","1","6","Dynamic Music Emotion Prediction is crucial to the emerging applications of music retrieval and recommendation. Considering the influence of temporal context and hierarchical structure on emotion in music, we propose a Deep Bidirectional Long Short-Term Memory (DBLSTM) based multi-scale regression method. In this method, a post-processing component is utilised for individual DBSLTM output to further enhance the ability of temporal context processing and a fusion component is to integrate the output of all DBLSTM models with different scales. In addition, we investigate how the difference of sequence length between the training and predicting phase affects the performance of DBLSTM. We conduct our experiments on a public database of Emotion in Music task at MediaEval 2015, and the result shows that our method achieves significant improvement when compared with the state-of-art methods.","1945-788X","978-1-4673-7258-9","10.1109/ICME.2016.7552956","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7552956","Dynamic music emotion prediction;multi-scale;deep bidirectional long-short term memory;fusion;post-processing","Context;Context modeling;Training;Feature extraction;Data models;Predictive models;Correlation","information retrieval;music;regression analysis","DBLSTM;multiscale fusion;dynamic music emotion prediction;music retrieval;music recommendation;hierarchical structure;deep bidirectional long short-term memory;multiscale regression method;temporal context processing","","4","","13","","29 Aug 2016","","","IEEE","IEEE Conferences"
"Top-k Link Recommendation in Social Networks","D. Song; D. A. Meyer; D. Tao","Dept. of ECE, Univ. of California San Diego, La Jolla, CA, USA; Dept. of Math., Univ. of California San Diego, La Jolla, CA, USA; Fac. of Eng. & IT, Univ. of Technol., Sydney, Ultimo, NSW, Australia","2015 IEEE International Conference on Data Mining","7 Jan 2016","2015","","","389","398","Inferring potential links is a fundamental problem in social networks. In the link recommendation problem, the aim is to suggest a list of potential people to each user, ordered by the preferences of the user. Although various approaches have been developed to solve this problem, the difficulty of producing a ranking list with high precision at the top -- the most important consideration for real world applications -- remains largely an open problem. In this work, we propose two top-k link recommendation algorithms which focus on optimizing the top ranked links. For this purpose, we define a cost-sensitive ranking loss which penalizes the mistakes at the top of a ranked list more than the mistakes at the bottom. In particular, we propose a log loss, derive its surrogate, and formulate a top-k link recommendation model by optimizing this surrogate loss function based upon latent features. Moreover, we extend this top-k link recommendation model by incorporating both the latent features and explicit features of the network. Finally, an efficient learning scheme to learn the model parameters is provided. We conduct empirical studies based upon four real world datasets, i.e., Wikipedia, CondMat, Epinions, and MovieLens 1M, of which the largest network contains more than 70 thousand nodes and over one million links. Our experiments demonstrate that the proposed algorithms outperform several state-of-the-art methods.","1550-4786","978-1-4673-9504-5","10.1109/ICDM.2015.136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7373343","Link recommendation;cost-sensitive ranking loss;top-k learning to rank;social networks","Social network services;Feature extraction;Electronic mail;Encyclopedias;Electronic publishing;Internet","learning (artificial intelligence);recommender systems;social networking (online)","social network;top-k link recommendation algorithm;cost-sensitive ranking;Wikipedia;CondMat;Epinions;MovieLens 1M","","8","","34","","7 Jan 2016","","","IEEE","IEEE Conferences"
"Audio Plugin Recommendation Systems for Music Production","P. M. Moura da Silva; C. L. Cavalcante Mattos; A. H. de Souza Júnior",Instituto Federal do Ceará; Universidade Federal do Ceará; Instituto Federal do Ceará,"2019 8th Brazilian Conference on Intelligent Systems (BRACIS)","5 Dec 2019","2019","","","854","859","Music actors operate several tools to achieve high-quality musical artifacts. One of the typically used tools is the digital multi-effects processor, which applies a chain of non-linear transformations (effects) to audio signals. However, the large number of available configurations implies that better use of such equipment is restricted to specialists. In this context, intelligent systems for music production aim to propose automatic tools to ease and support decision making by music actors. In this paper, we tackle the particular problem of selecting audio plugins, i.e., implementations of effects, by handling it as a recommendation task and following two distinct methodologies: supervised learning and collaborative filtering. To this, we introduce a formal probabilistic representation for the problem and evaluate the performance of standard machine learning techniques to obtain reliable recommendation systems using data collected from online repositories.","2643-6264","978-1-7281-4253-1","10.1109/BRACIS.2019.00152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8923658","audio plugin;music production;recommendation systems;classification;collaborative filtering","Collaboration;Tools;Music;Task analysis;Standards;Context","audio signal processing;decision making;information filtering;learning (artificial intelligence);music;recommender systems","audio plugin recommendation systems;music actors;high-quality musical artifacts;digital multieffects processor;nonlinear transformations;audio signals;available configurations;intelligent systems;music production aim;automatic tools;selecting audio plugins;recommendation task;reliable recommendation systems","","","","29","","5 Dec 2019","","","IEEE","IEEE Conferences"
"NAIS: Neural Attentive Item Similarity Model for Recommendation","X. He; Z. He; J. Song; Z. Liu; Y. Jiang; T. Chua","National University of Singapore, Singapore; Fudan University, Shanghai, China; University of Electronic Science and Technology of China, Chengdu, China; A* STAR, Singapore; Fudan University, Shanghai, China; National University of Singapore, Singapore","IEEE Transactions on Knowledge and Data Engineering","6 Nov 2018","2018","30","12","2354","2366","Item-to-item collaborative filtering (aka.item-based CF) has been long used for building recommender systems in industrial settings, owing to its interpretability and efficiency in real-time personalization. It builds a user's profile as her historically interacted items, recommending new items that are similar to the user's profile. As such, the key to an item-based CF method is in the estimation of item similarities. Early approaches use statistical measures such as cosine similarity and Pearson coefficient to estimate item similarities, which are less accurate since they lack tailored optimization for the recommendation task. In recent years, several works attempt to learn item similarities from data, by expressing the similarity as an underlying model and estimating model parameters by optimizing a recommendation-aware objective function. While extensive efforts have been made to use shallow linear models for learning item similarities, there has been relatively less work exploring nonlinear neural network models for item-based CF. In this work, we propose a neural network model named Neural Attentive Item Similarity model (NAIS) for item-based CF. The key to our design of NAIS is an attention network, which is capable of distinguishing which historical items in a user profile are more important for a prediction. Compared to the state-of-the-art item-based CF method Factored Item Similarity Model (FISM) [1] , our NAIS has stronger representation power with only a few additional parameters brought by the attention network. Extensive experiments on two public benchmarks demonstrate the effectiveness of NAIS. This work is the first attempt that designs neural network models for item-based CF, opening up new research possibilities for future developments of neural recommender systems.","1558-2191","","10.1109/TKDE.2018.2831682","National Research Foundation, Prime Minister's Office, Singapore under its IRC@SG Funding Initiative; National Key Research and Development Program of China; National Research Foundation Singapore under its AI Singapore Programme, Linksure Network Holding Pte Ltd; Asia Big Data Association; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352808","Collaborative filtering;item-based CF;neural recommender models;attention networks","Predictive models;Data models;Mathematical model;Real-time systems;Recommender systems;Optimization;Linear programming","collaborative filtering;neural nets;optimisation;parameter estimation;recommender systems;statistical analysis","model parameters;neural attentive item similarity model;tailored optimization;recommendation-aware objective function;statistical measures;pearson coefficient;neural recommender systems;nonlinear neural network models;cosine similarity;Item-to-item collaborative filtering;NAIS","","30","","45","","30 Apr 2018","","","IEEE","IEEE Journals"
"Recommending Music Based on Probabilistic Latent Semantic Analysis on Korean Radio Episodes","Z. Hyung; K. Lee","Dept. of Digital Contents Convergence, Seoul Nat. Univ., Seoul, South Korea; Dept. of Digital Contents Convergence, Seoul Nat. Univ., Seoul, South Korea","2013 Ninth International Conference on Intelligent Information Hiding and Multimedia Signal Processing","8 Jul 2014","2013","","","472","476","Recommending music that satisfies the user's taste has been a challenging problem. Previous works on music recommendation system focused on the user's purchase history or the content of the music. In this paper, we propose a music recommendation system purely based on analyzing textual input of the users. We first mine a large corpus of Korean radio episodes, which is written by the listener. Each episode is composed of a personal story and a song request which we assume to be somehow related to the story. We then performing probabilistic Latent Semantic Analysis (pLSA) to find similar documents and recommend music that are associated to those documents. We evaluate our system by computing the mean reciprocal rank and mean average precision, which are both conventional metrics in evaluating information retrieval systems. The result shows that music similarity and document similarity are closely correlated, and thus it is possible to recommend music purely based on text analysis.","","978-0-7695-5120-3","10.1109/IIH-MSP.2013.123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846679","Music Recommendation;Text Mining;Probabilistic Latent Semantic Analysis","Recommender systems;Text analysis;Context;Semantics;Probabilistic logic;Collaboration","information analysis;music;recommender systems;statistical analysis;text analysis","probabilistic latent semantic analysis;Korean radio episodes;music recommendation system;user purchase history;music content;user textual input;pLSA;mean reciprocal rank;mean average precision;music similarity;document similarity;text analysis","","3","","17","","8 Jul 2014","","","IEEE","IEEE Conferences"
"Shortest Path Based Potential Common Friend Recommendation in Social Networks","X. Tian; Y. Song; X. Wang; X. Gong","Sch. of Comput. & Inf. Eng., Shanghai Univ. of Electr. Power, Shanghai, China; Sch. of Comput. & Inf. Eng., Shanghai Univ. of Electr. Power, Shanghai, China; Inst. of Massive Comput., East China Normal Univ., Shanghai, China; Inst. of Massive Comput., East China Normal Univ., Shanghai, China","2012 Second International Conference on Cloud and Green Computing","14 Feb 2013","2012","","","541","548","Friend recommendation is a very popular application in online social network(OSN) services to help users make new friends and expand their social circle. Much of the existing research is based on either topological structure of OSN or user profiles to recommend new friends, while research based on both topological structure and user profiles to recommend potentially common friends between two undirectly connected users is still lacking. Recommending potentially common friends is useful in practical applications such as finding potential partners between two business groups in commercial social network in order to expand their business range or to reach potential customers, finding common bus stops between two specified bus stops on traffic network etc. In this paper we propose a novel shortest path based common friends recommendation approach in OSN to find and recommend potential common friends between two users. Our approach consists of the improved Floyd_Warshall algorithm and the Extended Longest Common Subsequence(ELCS) algorithm on both the topological structures of OSN and the partial profiles of users. The experiment results show that our approach can help users find the potential common friends efficiently and effectively.","","978-1-4673-3027-5","10.1109/CGC.2012.106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6382869","Friend recommendation;Online social network;Shortest path;Longest Common Subsequence","Social network services;Arrays;Collaboration;Business;Educational institutions;Algorithm design and analysis;Data models","combinatorial mathematics;optimisation;social networking (online);user interfaces","potential common friend recommendation;online social network;OSN service;social circle;user profile;OSN topological structure;Floyd-Warshall algorithm;extended longest common subsequence algorithm;ELCS algorithm;shortest path problem","","4","","31","","14 Feb 2013","","","IEEE","IEEE Conferences"
"A Novel Method for Event Recommendation in Meetup","A. A. Müngen; M. Kaya","Fırat University,Department of Computer Engineering,Elazig,Turkey; Fırat University,Department of Computer Engineering,Elazig,Turkey","2017 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","16 Apr 2020","2017","","","959","965","In recent years, social networks that only organize events have begun to appear and millions of people have registered for these groups online and received online invitations for events. Contrary to other social networks, at the end of the process in the event social networks, people participate in an event/a meeting physically. Even though hundreds of events occurring in the city we live are listed in the event social networks, it is not easy to follow all of the event announcements regularly, find the time and the content of the events and the events which acquaintances participate in. This study suggests a new link prediction method for the Meetup social network, which recommends events to users according to the events they participated in and their field of interests. Meetup is a significant network used in finding events. With this method, appropriate solutions are tried to be found on bipartite networks. The proposed method was tested with a dataset of 100.000 users acquired from Meetup and successful results were obtained.","2473-991X","978-1-4503-4993-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9069100","Bipartite Networks;Event-Based Recommendation System;Meetup","Social network services;Urban areas;Bipartite graph;Music;Prediction methods;Mobile handsets;Global Positioning System","network theory (graphs);recommender systems;social networking (online)","event social networks;event announcements;Meetup social network;finding events;bipartite networks;event recommendation;online invitations","","","","33","","16 Apr 2020","","","IEEE","IEEE Conferences"
"Clustering based online learning in recommender systems: A bandit approach","L. Song; C. Tekin; M. van der Schaar","Electrical Engineering Department, UCLA; Electrical Engineering Department, UCLA; Electrical Engineering Department, UCLA","2014 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","14 Jul 2014","2014","","","4528","4532","A big challenge for the design and implementation of large-scale online services is determining what items to recommend to their users. For instance, Netflix makes movie recommendations; Amazon makes product recommendations; and Yahoo! makes webpage recommendations. In these systems, items are recommended based on the characteristics and circumstances of the users, which are provided to the recommender as contexts (e.g., search history, time, and location). The task of building an efficient recommender system is challenging due to the fact that both the item space and the context space are very large. Existing works either focus on a large item space without contexts, large context space with small number of items, or they jointly consider the space of items and contexts together to solve the online recommendation problem. In contrast, we develop an algorithm that does exploration and exploitation in the context space and the item space separately, and develop an algorithm that combines clustering of the items with information aggregation in the context space. Basically, given a user's context, our algorithm aggregates its past history over a ball centered on the user's context, whose radius decreases at a rate that allows sufficiently accurate estimates of the payoffs such that the recommended payoffs converge to the true (unknown) payoffs. Theoretical results show that our algorithm can achieve a sublinear learning regret in time, namely the payoff difference of the oracle optimal benchmark, where the preferences of users on certain items in certain context are known, and our algorithm, where the information is incomplete. Numerical results show that our algorithm significantly outperforms (over 48%) the existing algorithms in terms of regret.","2379-190X","978-1-4799-2893-4","10.1109/ICASSP.2014.6854459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6854459","Recommender systems;online learning;clustering algorithms;multi-armed bandit","Context;Clustering algorithms;Recommender systems;Measurement;Motion pictures;Algorithm design and analysis;Heuristic algorithms","learning (artificial intelligence);pattern clustering;recommender systems","clustering based online learning;recommender systems;bandit approach;large-scale online services;movie recommendations;Netflix;Amazon;product recommendations;Yahoo!;Webpage recommendations;large item space;online recommendation problem;information aggregation;sublinear learning;oracle optimal benchmark","","6","","29","","14 Jul 2014","","","IEEE","IEEE Conferences"
"Improving Recommender Systems Accuracy in Social Networks Using Popularity","K. Majbouri Yazdi; A. Majbouri Yazdi; S. Khodayi; J. Hou; W. Zhou; S. Saedy; M. Rostami",Deakin University; Kharazmi University; Azad University; Deakin University; University of Technology Sydney; Khavaran Higher Education Institute; University of Kurdistan,"2019 20th International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT)","12 Mar 2020","2019","","","301","307","With the rapid advancement of World Wide Web, people can share their knowledge and information via online tools such as sharing systems and ecommerce applications. Many approaches have been proposed to process and organize information. Recommender systems are good successful examples of such tools in providing personalized suggestions. The main purpose of a recommender system is to identify and introduce desired items of a user among many other options (e.g. music, movies, books, news and etc). The goal of our proposed method is to provide a recommender system based on information diffusion and popularity in social networks. By adding popularity, similarity and users' trusts a more efficient system is proposed. This approach makes an improvement in tackling the issues and defects of the previous methods such as prediction accuracy and coverage. The evaluation of the simulated proposed method on MovieLens and Epinions datasets shows that it provides more accurate recommendations in comparison to other approaches.","2640-6721","978-1-7281-2616-6","10.1109/PDCAT46702.2019.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9029160","Recommender Systems, Trust, Popularity, Information Diffusion, Centrality","Recommender systems;Collaboration;Tools;Social network services;Australia;Electronic commerce","information retrieval;Internet;recommender systems;social networking (online)","social networks;World Wide Web;online tools;sharing systems;recommender system;information diffusion;Epinions datasets;MovieLens datasets;users trusts;personalized suggestions","","","","30","","12 Mar 2020","","","IEEE","IEEE Conferences"
"EVOV: A video recommendation system to support sustainable vocabulary learning","Y. Zhang; W. Jia; C. Zhu; Y. Song","Shenzhen University, China; Shenzhen University, China; Shenzhen University, China; Shenzhen University, China","2015 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","21 Jan 2016","2015","","","43","48","Learning vocabulary is both critical and boring for many EFL (English as foreign language) learners and one major difficulty is the lack of suitable context for learning new words. Although videos can provide a rich context for learning vocabulary, it often takes more time than textual media to learn. This paper presents the EVOV system which is to exploit the role of video in vocabulary learning with the human-interaction mechanism and recommendation engine. This system models vocabulary learning as an evolutionary process. It involves watching videos, reviewing vocabulary, learner modeling and individualized recommendations. This paper introduces the core modules of EVOV and demonstrates how it supported vocabulary learning through video in an efficient and sustainable way.","","978-1-4673-9226-6","10.1109/TALE.2015.7386013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7386013","incidental vocabulary learning;recommendation system;learner modeling;intelligent tutoring system","Vocabulary;Context;Mobile communication;Engines;Education;Databases;Browsers","computer aided instruction;linguistics;recommender systems;video retrieval;vocabulary","video recommendation system;sustainable vocabulary learning;EFL;English as foreign language learners;new word learning;textual media;EVOV system;human-interaction mechanism;recommendation engine;video watching;learner modeling;individualized recommendation","","1","","17","","21 Jan 2016","","","IEEE","IEEE Conferences"
"Spatial-Temporal Topic Model for Cold-Start Event Recommendation","R. Li; S. Lv; H. Zhu; X. Song","School of Information Technology, Henan University of Chinese Medicine, Zhengzhou, China; School of Information Technology Center, Henan Radio and Television University, Zhengzhou, China; School of Information Technology, Henan University of Chinese Medicine, Zhengzhou, China; School of Information Technology, Henan University of Chinese Medicine, Zhengzhou, China","IEEE Access","7 Dec 2020","2020","8","","214050","214060","Event recommendation has attracted an increasing attention with the popularity of event-based social networks (EBSNs). The previous studies mainly focus on exploiting various contextual information to alleviate the cold-start problem in event recommendation. However, the interactions between different contextual factors, such as time, location and content, have not been modeled jointly. In this paper, we investigate the relationships among time, location and organizer in EBSNs, and propose a Spatial-Temporal Topic Model (STTM) for cold-start event recommendation. STTM can capture user's interests on content and geographical space changing over time, and users have different event and venue topic distributions at different times in STTM. We perform an experimental evaluation on the real-world EBSNs dataset. The experimental results show the significant improvements of our method over other comparison methods, especially when dataset is more sparse.","2169-3536","","10.1109/ACCESS.2020.3040778","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272313","Event recommendation;cold-start problem;topic model;spatio-temporal information","Context modeling;Social networking (online);Decision making;Analytical models;Task analysis;Predictive models;Data models","recommender systems;social networking (online)","spatial-temporal topic model;cold-start event recommendation;event-based social networks;EBSNs;cold-start problem;contextual factors;STTM;venue topic distributions;user interest;geographical space","","","","28","CCBY","26 Nov 2020","","","IEEE","IEEE Journals"
